"provincia","year","total","varones","mujeres"
"Catamarca",2021,"418991","209737","209254"
"Catamarca",2022,"422476","211503","210973"
"Catamarca",2023,"425885","213228","212657"
"Catamarca",2024,"429208","214907","214301"
"Catamarca",2025,"432438","216536","215902"
"Catamarca",2026,"435572","218113","217459"
"Catamarca",2027,"438610","219639","218971"
"Catamarca",2028,"441548","221112","220436"
"Catamarca",2029,"444382","222529","221853"
"Catamarca",2030,"447107","223889","223218"
"Catamarca",2031,"449719","225189","224530"
"Catamarca",2032,"452217","226430","225787"
"Catamarca",2033,"454596","227608","226988"
"Catamarca",2034,"456854","228723","228131"
"Catamarca",2035,"458989","229774","229215"
"Catamarca",2036,"460999","230761","230238"
"Catamarca",2037,"462883","231683","231200"
"Catamarca",2038,"464640","232540","232100"
"Catamarca",2039,"466275","233334","232941"
"Catamarca",2040,"467787","234065","233722"
"Córdoba",2010,"3373025","1642300","1730725"
"Córdoba",2011,"3411773","1661989","1749784"
"Córdoba",2012,"3450673","1681770","1768903"
"Córdoba",2013,"3489669","1701613","1788056"
"Córdoba",2014,"3528687","1721478","1807209"
"Córdoba",2015,"3567654","1741325","1826329"
"Córdoba",2016,"3606540","1761138","1845402"
"Córdoba",2017,"3645321","1780905","1864416"
"Córdoba",2018,"3683937","1800593","1883344"
"Córdoba",2019,"3722332","1820172","1902160"
"Córdoba",2020,"3760450","1839612","1920838"
"Córdoba",2021,"3798261","1858896","1939365"
"Córdoba",2022,"3835738","1878010","1957728"
"Córdoba",2023,"3872830","1896928","1975902"
"Córdoba",2024,"3909489","1915625","1993864"
"Córdoba",2025,"3945677","1934082","2011595"
"Córdoba",2026,"3981393","1952301","2029092"
"Córdoba",2027,"4016659","1970295","2046364"
"Córdoba",2028,"4051461","1988057","2063404"
"Córdoba",2029,"4085783","2005579","2080204"
"Córdoba",2030,"4119615","2022857","2096758"
"Córdoba",2031,"4152951","2039888","2113063"
"Córdoba",2032,"4185790","2056671","2129119"
"Córdoba",2033,"4218137","2073209","2144928"
"Córdoba",2034,"4250000","2089505","2160495"
"Córdoba",2035,"4281389","2105563","2175826"
"Córdoba",2036,"4312310","2121388","2190922"
"Córdoba",2037,"4342769","2136982","2205787"
"Córdoba",2038,"4372781","2152351","2220430"
"Córdoba",2039,"4402358","2167500","2234858"
"Córdoba",2040,"4431509","2182434","2249075"
"Corrientes",2010,"1017731","501452","516279"
"Corrientes",2011,"1028248","506702","521546"
"Corrientes",2012,"1038786","511969","526817"
"Corrientes",2013,"1049325","517240","532085"
"Corrientes",2014,"1059836","522500","537336"
"Corrientes",2015,"1070283","527731","542552"
"Corrientes",2016,"1080655","532925","547730"
"Corrientes",2017,"1090938","538075","552863"
"Corrientes",2018,"1101084","543156","557928"
"Corrientes",2019,"1111052","548147","562905"
"Corrientes",2020,"1120801","553026","567775"
"Corrientes",2021,"1130320","557787","572533"
"Corrientes",2022,"1139604","562427","577177"
"Corrientes",2023,"1148631","566935","581696"
"Corrientes",2024,"1157386","571303","586083"
"Corrientes",2025,"1165860","575526","590334"
"Corrientes",2026,"1174065","579610","594455"
"Corrientes",2027,"1182008","583560","598448"
"Corrientes",2028,"1189680","587371","602309"
"Corrientes",2029,"1197076","591042","606034"
"Corrientes",2030,"1204189","594569","609620"
"Corrientes",2031,"1211027","597957","613070"
"Corrientes",2032,"1217593","601207","616386"
"Corrientes",2033,"1223885","604319","619566"
"Corrientes",2034,"1229901","607293","622608"
"Corrientes",2035,"1235644","610131","625513"
"Corrientes",2036,"1241119","612836","628283"
"Corrientes",2037,"1246340","615417","630923"
"Corrientes",2038,"1251313","617876","633437"
"Corrientes",2039,"1256046","620219","635827"
"Corrientes",2040,"1260548","622451","638097"
"Chaco",2010,"1080017","534347","545670"
"Chaco",2011,"1092625","540391","552234"
"Chaco",2012,"1105280","546471","558809"
"Chaco",2013,"1117953","552570","565383"
"Chaco",2014,"1130608","558670","571938"
"Chaco",2015,"1143201","564746","578455"
"Chaco",2016,"1155723","570793","584930"
"Chaco",2017,"1168165","576806","591359"
"Chaco",2018,"1180477","582759","597718"
"Chaco",2019,"1192616","588629","603987"
"Chaco",2020,"1204541","594394","610147"
"Chaco",2021,"1216247","600052","616195"
"Chaco",2022,"1227736","605603","622133"
"Chaco",2023,"1238989","611037","627952"
"Chaco",2024,"1249992","616347","633645"
"Chaco",2025,"1260737","621528","639209"
"Chaco",2026,"1271241","626589","644652"
"Chaco",2027,"1281525","631540","649985"
"Chaco",2028,"1291581","636378","655203"
"Chaco",2029,"1301397","641096","660301"
"Chaco",2030,"1310964","645690","665274"
"Chaco",2031,"1320278","650158","670120"
"Chaco",2032,"1329337","654500","674837"
"Chaco",2033,"1338130","658710","679420"
"Chaco",2034,"1346652","662787","683865"
"Chaco",2035,"1354895","666726","688169"
"Chaco",2036,"1362863","670530","692333"
"Chaco",2037,"1370566","674204","696362"
"Chaco",2038,"1378007","677751","700256"
"Chaco",2039,"1385188","681171","704017"
"Chaco",2040,"1392114","684468","707646"
"Chubut",2010,"513433","256540","256893"
"Chubut",2011,"524201","262005","262196"
"Chubut",2012,"534945","267460","267485"
"Chubut",2013,"545656","272901","272755"
"Chubut",2014,"556319","278319","278000"
"Chubut",2015,"566922","283708","283214"
"Chubut",2016,"577466","289068","288398"
"Chubut",2017,"587956","294402","293554"
"Chubut",2018,"598380","299702","298678"
"Chubut",2019,"608729","304965","303764"
"Chubut",2020,"618994","310185","308809"
"Chubut",2021,"629181","315365","313816"
"Chubut",2022,"639294","320508","318786"
"Chubut",2023,"649330","325610","323720"
"Chubut",2024,"659284","330670","328614"
"Chubut",2025,"669155","335688","333467"
"Chubut",2026,"678951","340667","338284"
"Chubut",2027,"688682","345612","343070"
"Chubut",2028,"698351","350524","347827"
"Chubut",2029,"707956","355402","352554"
"Chubut",2030,"717495","360246","357249"
"Chubut",2031,"726971","365057","361914"
"Chubut",2032,"736386","369836","366550"
"Chubut",2033,"745737","374582","371155"
"Chubut",2034,"755021","379293","375728"
"Chubut",2035,"764230","383965","380265"
"Chubut",2036,"773367","388600","384767"
"Chubut",2037,"782427","393195","389232"
"Chubut",2038,"791405","397749","393656"
"Chubut",2039,"800299","402259","398040"
"Chubut",2040,"809102","406723","402379"
"Entre Ríos",2010,"1255574","615107","640467"
"Entre Ríos",2011,"1268744","621717","647027"
"Entre Ríos",2012,"1281931","628346","653585"
"Entre Ríos",2013,"1295121","634985","660136"
"Entre Ríos",2014,"1308290","641619","666671"
"Entre Ríos",2015,"1321415","648236","673179"
"Entre Ríos",2016,"1334489","654832","679657"
"Entre Ríos",2017,"1347508","661403","686105"
"Entre Ríos",2018,"1360443","667934","692509"
"Entre Ríos",2019,"1373270","674412","698858"
"Entre Ríos",2020,"1385961","680822","705139"
"Entre Ríos",2021,"1398510","687159","711351"
"Entre Ríos",2022,"1410908","693419","717489"
"Entre Ríos",2023,"1423136","699592","723544"
"Entre Ríos",2024,"1435177","705669","729508"
"Entre Ríos",2025,"1447019","711644","735375"
"Entre Ríos",2026,"1458661","717517","741144"
"Entre Ríos",2027,"1470109","723292","746817"
"Entre Ríos",2028,"1481358","728967","752391"
"Entre Ríos",2029,"1492399","734538","757861"
"Entre Ríos",2030,"1503222","740000","763222"
"Entre Ríos",2031,"1513825","745353","768472"
"Entre Ríos",2032,"1524206","750595","773611"
"Entre Ríos",2033,"1534359","755724","778635"
"Entre Ríos",2034,"1544281","760740","783541"
"Entre Ríos",2035,"1553972","765642","788330"
"Entre Ríos",2036,"1563429","770428","793001"
"Entre Ríos",2037,"1572653","775100","797553"
"Entre Ríos",2038,"1581648","779660","801988"
"Entre Ríos",2039,"1590415","784108","806307"
"Entre Ríos",2040,"1598960","788447","810513"
"Formosa",2010,"551626","275092","276534"
"Formosa",2011,"557223","277823","279400"
"Formosa",2012,"562794","280542","282252"
"Formosa",2013,"568331","283244","285087"
"Formosa",2014,"573823","285924","287899"
"Formosa",2015,"579250","288571","290679"
"Formosa",2016,"584614","291187","293427"
"Formosa",2017,"589916","293772","296144"
"Formosa",2018,"595129","296313","298816"
"Formosa",2019,"600229","298797","301432"
"Formosa",2020,"605193","301213","303980"
"Formosa",2021,"610019","303560","306459"
"Formosa",2022,"614706","305837","308869"
"Formosa",2023,"619240","308037","311203"
"Formosa",2024,"623605","310153","313452"
"Formosa",2025,"627790","312179","315611"
"Formosa",2026,"631801","314118","317683"
"Formosa",2027,"635646","315975","319671"
"Formosa",2028,"639319","317746","321573"
"Formosa",2029,"642812","319428","323384"
"Formosa",2030,"646119","321018","325101"
"Formosa",2031,"649242","322517","326725"
"Formosa",2032,"652185","323928","328257"
"Formosa",2033,"654940","325247","329693"
"Formosa",2034,"657503","326471","331032"
"Formosa",2035,"659871","327600","332271"
"Formosa",2036,"662045","328634","333411"
"Formosa",2037,"664031","329577","334454"
"Formosa",2038,"665827","330428","335399"
"Formosa",2039,"667437","331189","336248"
"Formosa",2040,"668865","331862","337003"
"Jujuy",2010,"683513","336954","346559"
"Jujuy",2011,"692379","341398","350981"
"Jujuy",2012,"701252","345849","355403"
"Jujuy",2013,"710121","350301","359820"
"Jujuy",2014,"718971","354747","364224"
"Jujuy",2015,"727780","359175","368605"
"Jujuy",2016,"736542","363581","372961"
"Jujuy",2017,"745252","367963","377289"
"Jujuy",2018,"753891","372312","381579"
"Jujuy",2019,"762440","376618","385822"
"Jujuy",2020,"770881","380872","390009"
"Jujuy",2021,"779212","385072","394140"
"Jujuy",2022,"787436","389221","398215"
"Jujuy",2023,"795539","393311","402228"
"Jujuy",2024,"803507","397335","406172"
"Jujuy",2025,"811328","401287","410041"
"Jujuy",2026,"819006","405169","413837"
"Jujuy",2027,"826541","408980","417561"
"Jujuy",2028,"833925","412717","421208"
"Jujuy",2029,"841151","416376","424775"
"Jujuy",2030,"848213","419954","428259"
"Jujuy",2031,"855109","423451","431658"
"Jujuy",2032,"861838","426866","434972"
"Jujuy",2033,"868393","430194","438199"
"Jujuy",2034,"874769","433434","441335"
"Jujuy",2035,"880965","436585","444380"
"Jujuy",2036,"886977","439645","447332"
"Jujuy",2037,"892807","442615","450192"
"Jujuy",2038,"898453","445494","452959"
"Jujuy",2039,"903916","448283","455633"
"Jujuy",2040,"909196","450981","458215"
"La Pampa",2010,"327028","162435","164593"
"La Pampa",2011,"330268","164027","166241"
"La Pampa",2012,"333496","165612","167884"
"La Pampa",2013,"336706","167187","169519"
"La Pampa",2014,"339895","168750","171145"
"La Pampa",2015,"343056","170298","172758"
"La Pampa",2016,"346191","171831","174360"
"La Pampa",2017,"349299","173350","175949"
"La Pampa",2018,"352378","174853","177525"
"La Pampa",2019,"355422","176337","179085"
"La Pampa",2020,"358428","177801","180627"
"La Pampa",2021,"361394","179244","182150"
"La Pampa",2022,"364322","180667","183655"
"La Pampa",2023,"367207","182068","185139"
"La Pampa",2024,"370047","183445","186602"
"La Pampa",2025,"372838","184796","188042"
"La Pampa",2026,"375579","186122","189457"
"La Pampa",2027,"378272","187424","190848"
"La Pampa",2028,"380911","188698","192213"
"La Pampa",2029,"383495","189945","193550"
"La Pampa",2030,"386024","191163","194861"
"La Pampa",2031,"388496","192353","196143"
"La Pampa",2032,"390910","193514","197396"
"La Pampa",2033,"393265","194646","198619"
"La Pampa",2034,"395561","195748","199813"
"La Pampa",2035,"397800","196822","200978"
"La Pampa",2036,"399980","197867","202113"
"La Pampa",2037,"402103","198884","203219"
"La Pampa",2038,"404168","199873","204295"
"La Pampa",2039,"406177","200835","205342"
"La Pampa",2040,"408128","201768","206360"
"La Rioja",2010,"342582","170647","171935"
"La Rioja",2011,"347494","173075","174419"
"La Rioja",2012,"352476","175541","176935"
"La Rioja",2013,"357516","178039","179477"
"La Rioja",2014,"362605","180563","182042"
"La Rioja",2015,"367728","183105","184623"
"La Rioja",2016,"372879","185662","187217"
"La Rioja",2017,"378047","188229","189818"
"La Rioja",2018,"383220","190798","192422"
"La Rioja",2019,"388386","193364","195022"
"La Rioja",2020,"393531","195919","197612"
"La Rioja",2021,"398648","198459","200189"
"La Rioja",2022,"403727","200980","202747"
"La Rioja",2023,"408760","203476","205284"
"La Rioja",2024,"413735","205942","207793"
"La Rioja",2025,"418645","208374","210271"
"La Rioja",2026,"423488","210770","212718"
"La Rioja",2027,"428256","213127","215129"
"La Rioja",2028,"432944","215442","217502"
"La Rioja",2029,"437549","217713","219836"
"La Rioja",2030,"442067","219938","222129"
"La Rioja",2031,"446498","222118","224380"
"La Rioja",2032,"450839","224251","226588"
"La Rioja",2033,"455091","226338","228753"
"La Rioja",2034,"459255","228379","230876"
"La Rioja",2035,"463331","230375","232956"
"La Rioja",2036,"467323","232328","234995"
"La Rioja",2037,"471232","234238","236994"
"La Rioja",2038,"475062","236108","238954"
"La Rioja",2039,"478816","237940","240876"
"La Rioja",2040,"482498","239735","242763"
"Mendoza",2010,"1774737","869428","905309"
"Mendoza",2011,"1797235","880869","916366"
"Mendoza",2012,"1819608","892249","927359"
"Mendoza",2013,"1841813","903547","938266"
"Mendoza",2014,"1863809","914741","949068"
"Mendoza",2015,"1885551","925809","959742"
"Mendoza",2016,"1907045","936753","970292"
"Mendoza",2017,"1928304","947581","980723"
"Mendoza",2018,"1949293","958274","991019"
"Mendoza",2019,"1969982","968816","1001166"
"Mendoza",2020,"1990338","979191","1011147"
"Mendoza",2021,"2010363","989400","1020963"
"Mendoza",2022,"2030061","999446","1030615"
"Mendoza",2023,"2049411","1009317","1040094"
"Mendoza",2024,"2068396","1019006","1049390"
"Mendoza",2025,"2087006","1028506","1058500"
"Mendoza",2026,"2105259","1037828","1067431"
"Mendoza",2027,"2123178","1046983","1076195"
"Mendoza",2028,"2140766","1055973","1084793"
"Mendoza",2029,"2158023","1064800","1093223"
"Mendoza",2030,"2174953","1073465","1101488"
"Mendoza",2031,"2191575","1081978","1109597"
"Mendoza",2032,"2207912","1090353","1117559"
"Mendoza",2033,"2223969","1098593","1125376"
"Mendoza",2034,"2239753","1106701","1133052"
"Mendoza",2035,"2255267","1114678","1140589"
"Mendoza",2036,"2270521","1122529","1147992"
"Mendoza",2037,"2285519","1130257","1155262"
"Mendoza",2038,"2300262","1137860","1162402"
"Mendoza",2039,"2314745","1145336","1169409"
"Mendoza",2040,"2328963","1152681","1176282"
"Misiones",2010,"1113279","556697","556582"
"Misiones",2011,"1128798","564334","564464"
"Misiones",2012,"1144189","571915","572274"
"Misiones",2013,"1159445","579436","580009"
"Misiones",2014,"1174542","586884","587658"
"Misiones",2015,"1189446","594241","595205"
"Misiones",2016,"1204182","601518","602664"
"Misiones",2017,"1218771","608726","610045"
"Misiones",2018,"1233177","615846","617331"
"Misiones",2019,"1247362","622859","624503"
"Misiones",2020,"1261294","629747","631547"
"Misiones",2021,"1274992","636519","638473"
"Misiones",2022,"1288476","643186","645290"
"Misiones",2023,"1301723","649736","651987"
"Misiones",2024,"1314714","656159","658555"
"Misiones",2025,"1327431","662445","664986"
"Misiones",2026,"1339893","668604","671289"
"Misiones",2027,"1352117","674645","677472"
"Misiones",2028,"1364086","680558","683528"
"Misiones",2029,"1375781","686333","689448"
"Misiones",2030,"1387184","691961","695223"
"Misiones",2031,"1398304","697447","700857"
"Misiones",2032,"1409156","702799","706357"
"Misiones",2033,"1419725","708009","711716"
"Misiones",2034,"1429997","713071","716926"
"Misiones",2035,"1439958","717977","721981"
"Misiones",2036,"1449601","722726","726875"
"Misiones",2037,"1458924","727315","731609"
"Misiones",2038,"1467913","731739","736174"
"Misiones",2039,"1476556","735992","740564"
"Misiones",2040,"1484840","740068","744772"
"Neuquén",2010,"571910","284848","287062"
"Neuquén",2011,"581720","289679","292041"
"Neuquén",2012,"591422","294454","296968"
"Neuquén",2013,"601003","299165","301838"
"Neuquén",2014,"610449","303806","306643"
"Neuquén",2015,"619745","308370","311375"
"Neuquén",2016,"628897","312859","316038"
"Neuquén",2017,"637913","317278","320635"
"Neuquén",2018,"646784","321623","325161"
"Neuquén",2019,"655501","325888","329613"
"Neuquén",2020,"664057","330070","333987"
"Neuquén",2021,"672461","334174","338287"
"Neuquén",2022,"680726","338206","342520"
"Neuquén",2023,"688850","342167","346683"
"Neuquén",2024,"696833","346055","350778"
"Neuquén",2025,"704673","349870","354803"
"Neuquén",2026,"712383","353619","358764"
"Neuquén",2027,"719973","357308","362665"
"Neuquén",2028,"727444","360937","366507"
"Neuquén",2029,"734793","364505","370288"
"Neuquén",2030,"742015","368010","374005"
"Neuquén",2031,"749119","371458","377661"
"Neuquén",2032,"756107","374849","381258"
"Neuquén",2033,"762975","378181","384794"
"Neuquén",2034,"769720","381454","388266"
"Neuquén",2035,"776338","384666","391672"
"Neuquén",2036,"782827","387816","395011"
"Neuquén",2037,"789191","390907","398284"
"Neuquén",2038,"795423","393935","401488"
"Neuquén",2039,"801521","396900","404621"
"Neuquén",2040,"807482","399800","407682"
"Río Negro",2010,"648277","322712","325565"
"Río Negro",2011,"658486","327873","330613"
"Río Negro",2012,"668663","333014","335649"
"Río Negro",2013,"678797","338129","340668"
"Río Negro",2014,"688873","343212","345661"
"Río Negro",2015,"698874","348253","350621"
"Río Negro",2016,"708799","353253","355546"
"Río Negro",2017,"718646","358210","360436"
"Río Negro",2018,"728403","363118","365285"
"Río Negro",2019,"738060","367973","370087"
"Río Negro",2020,"747610","372770","374840"
"Río Negro",2021,"757052","377510","379542"
"Río Negro",2022,"766387","382193","384194"
"Río Negro",2023,"775610","386817","388793"
"Río Negro",2024,"784715","391379","393336"
"Río Negro",2025,"793697","395877","397820"
"Río Negro",2026,"802561","400313","402248"
"Río Negro",2027,"811311","404690","406621"
"Río Negro",2028,"819946","409007","410939"
"Río Negro",2029,"828459","413262","415197"
"Río Negro",2030,"836851","417454","419397"
"Río Negro",2031,"845121","421585","423536"
"Río Negro",2032,"853269","425654","427615"
"Río Negro",2033,"861296","429663","431633"
"Río Negro",2034,"869196","433608","435588"
"Río Negro",2035,"876969","437490","439479"
"Río Negro",2036,"884612","441308","443304"
"Río Negro",2037,"892125","445062","447063"
"Río Negro",2038,"899508","448752","450756"
"Río Negro",2039,"906759","452377","454382"
"Río Negro",2040,"913879","455938","457941"
"Salta",2010,"1239111","613103","626008"
"Salta",2011,"1258111","622489","635622"
"Salta",2012,"1277062","631855","645207"
"Salta",2013,"1295944","641191","654753"
"Salta",2014,"1314726","650481","664245"
"Salta",2015,"1333365","659702","673663"
"Salta",2016,"1351878","668863","683015"
"Salta",2017,"1370283","677974","692309"
"Salta",2018,"1388532","687008","701524"
"Salta",2019,"1406584","695946","710638"
"Salta",2020,"1424397","704765","719632"
"Salta",2021,"1441988","713474","728514"
"Salta",2022,"1459378","722085","737293"
"Salta",2023,"1476539","730582","745957"
"Salta",2024,"1493448","738954","754494"
"Salta",2025,"1510087","747191","762896"
"Salta",2026,"1526480","755306","771174"
"Salta",2027,"1542650","763311","779339"
"Salta",2028,"1558584","771199","787385"
"Salta",2029,"1574262","778960","795302"
"Salta",2030,"1589668","786586","803082"
"Salta",2031,"1604807","794078","810729"
"Salta",2032,"1619690","801444","818246"
"Salta",2033,"1634300","808674","825626"
"Salta",2034,"1648618","815759","832859"
"Salta",2035,"1662631","822693","839938"
"Salta",2036,"1676343","829477","846866"
"Salta",2037,"1689758","836113","853645"
"Salta",2038,"1702871","842599","860272"
"Salta",2039,"1715673","848930","866743"
"Salta",2040,"1728163","855106","873057"
"San Juan",2010,"696076","343077","352999"
"San Juan",2011,"704652","347533","357119"
"San Juan",2012,"713240","351996","361244"
"San Juan",2013,"721830","356460","365370"
"San Juan",2014,"730408","360918","369490"
"San Juan",2015,"738959","365362","373597"
"San Juan",2016,"747488","369794","377694"
"San Juan",2017,"755994","374215","381779"
"San Juan",2018,"764464","378617","385847"
"San Juan",2019,"772876","382990","389886"
"San Juan",2020,"781217","387326","393891"
"San Juan",2021,"789489","391627","397862"
"San Juan",2022,"797697","395895","401802"
"San Juan",2023,"805830","400125","405705"
"San Juan",2024,"813878","404312","409566"
"San Juan",2025,"821835","408452","413383"
"San Juan",2026,"829702","412547","417155"
"San Juan",2027,"837479","416597","420882"
"San Juan",2028,"845154","420596","424558"
"San Juan",2029,"852715","424538","428177"
"San Juan",2030,"860152","428417","431735"
"San Juan",2031,"867459","432231","435228"
"San Juan",2032,"874633","435978","438655"
"San Juan",2033,"881664","439654","442010"
"San Juan",2034,"888545","443254","445291"
"San Juan",2035,"895265","446773","448492"
"San Juan",2036,"901827","450212","451615"
"San Juan",2037,"908233","453572","454661"
"San Juan",2038,"914478","456850","457628"
"San Juan",2039,"920560","460044","460516"
"San Juan",2040,"926479","463155","463324"
"San Luis",2010,"443944","219940","224004"
"San Luis",2011,"450434","223189","227245"
"San Luis",2012,"456924","226438","230486"
"San Luis",2013,"463411","229686","233725"
"San Luis",2014,"469889","232930","236959"
"San Luis",2015,"476351","236166","240185"
"San Luis",2016,"482796","239393","243403"
"San Luis",2017,"489225","242612","246613"
"San Luis",2018,"495629","245817","249812"
"San Luis",2019,"502000","249005","252995"
"San Luis",2020,"508328","252170","256158"
"San Luis",2021,"514610","255311","259299"
"San Luis",2022,"520845","258428","262417"
"San Luis",2023,"527023","261514","265509"
"San Luis",2024,"533137","264567","268570"
"San Luis",2025,"539178","267582","271596"
"San Luis",2026,"545144","270559","274585"
"San Luis",2027,"551032","273496","277536"
"San Luis",2028,"556840","276392","280448"
"San Luis",2029,"562560","279242","283318"
"San Luis",2030,"568188","282046","286142"
"San Luis",2031,"573720","284801","288919"
"San Luis",2032,"579154","287506","291648"
"San Luis",2033,"584488","290161","294327"
"San Luis",2034,"589716","292763","296953"
"San Luis",2035,"594835","295310","299525"
"San Luis",2036,"599847","297803","302044"
"San Luis",2037,"604751","300241","304510"
"San Luis",2038,"609547","302625","306922"
"San Luis",2039,"614236","304955","309281"
"San Luis",2040,"618818","307232","311586"
"Santa Cruz",2010,"275452","141644","133808"
"Santa Cruz",2011,"284414","146235","138179"
"Santa Cruz",2012,"293407","150842","142565"
"Santa Cruz",2013,"302420","155459","146961"
"Santa Cruz",2014,"311444","160081","151363"
"Santa Cruz",2015,"320469","164703","155766"
"Santa Cruz",2016,"329499","169327","160172"
"Santa Cruz",2017,"338542","173956","164586"
"Santa Cruz",2018,"347593","178589","169004"
"Santa Cruz",2019,"356647","183222","173425"
"Santa Cruz",2020,"365698","187852","177846"
"Santa Cruz",2021,"374756","192484","182272"
"Santa Cruz",2022,"383827","197121","186706"
"Santa Cruz",2023,"392904","201759","191145"
"Santa Cruz",2024,"401984","206396","195588"
"Santa Cruz",2025,"411065","211032","200033"
"Santa Cruz",2026,"420152","215668","204484"
"Santa Cruz",2027,"429253","220309","208944"
"Santa Cruz",2028,"438368","224954","213414"
"Santa Cruz",2029,"447491","229601","217890"
"Santa Cruz",2030,"456620","234248","222372"
"Santa Cruz",2031,"465759","238897","226862"
"Santa Cruz",2032,"474908","243548","231360"
"Santa Cruz",2033,"484064","248199","235865"
"Santa Cruz",2034,"493221","252847","240374"
"Santa Cruz",2035,"502376","257491","244885"
"Santa Cruz",2036,"511524","262128","249396"
"Santa Cruz",2037,"520663","266756","253907"
"Santa Cruz",2038,"529786","271372","258414"
"Santa Cruz",2039,"538886","275973","262913"
"Santa Cruz",2040,"547960","280557","267403"
"Santa Fe",2010,"3257907","1582187","1675720"
"Santa Fe",2011,"3285408","1595978","1689430"
"Santa Fe",2012,"3313212","1609962","1703250"
"Santa Fe",2013,"3341228","1624091","1717137"
"Santa Fe",2014,"3369365","1638315","1731050"
"Santa Fe",2015,"3397532","1652581","1744951"
"Santa Fe",2016,"3425656","1666849","1758807"
"Santa Fe",2017,"3453674","1681084","1772590"
"Santa Fe",2018,"3481514","1695244","1786270"
"Santa Fe",2019,"3509113","1709293","1799820"
